source_draw_no,target_draw_no,CandidateNumber,score,engine_score,verifier_score,engine_count,engines,signatures,verifier_info
4051,4052,4216,18.0,6.0,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 3, 9, 1] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7] ## SOLVED_AFFINE|M=[[1, 0, 0, 0], [3, 9, 1, 0], [3, 0, 1, 0], [7, 1, 9, 9]]|B=[7, 5, 2, 2]","{""digit_sum"": 13, ""even"": 3, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1167,18.0,3.0,15.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[0, 9, 9, 0], [0, 1, 0, 1], [0, 9, 0, 0], [0, 3, 1, 1]]|B=[1, 1, 0, 3] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [8, 7, 9, 2], [1, 1, 0, 0], [1, 9, 9, 0]]|B=[5, 1, 4, 7] ## SOLVED_AFFINE|M=[[4, 9, 0, 9], [3, 2, 1, 2], [0, 8, 0, 9], [7, 4, 0, 5]]|B=[2, 6, 8, 2]","{""digit_sum"": 15, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,1058,16.0,4.0,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[5, 2, 4, 4]","{""digit_sum"": 14, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,8237,15.0,3.0,12.0,2,E1_CROSS_PAIR_LINEAR|E2_SET_PROJECTOR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[2, 0, 3, 4] ## SET_PROJECTOR|M=[[2, 1, 0, 0], [1, 2, 0, 0], [9, 0, 1, 9], [0, 0, 0, 1]]|B=[2, 1, 1, 8]","{""digit_sum"": 20, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,9810,15.0,3.0,12.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7] ## SOLVED_AFFINE|M=[[1, 6, 4, 0], [6, 9, 5, 2], [9, 5, 0, 1], [9, 7, 9, 0]]|B=[8, 9, 4, 4]","{""digit_sum"": 18, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,4239,14.0,4.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 3, 0]","{""digit_sum"": 18, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,5582,14.0,4.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[5, 1, 2, 6] ## SOLVED_AFFINE|M=[[0, 0, 0, 0], [2, 0, 0, 0], [4, 0, 9, 0], [5, 1, 0, 0]]|B=[5, 1, 1, 7]","{""digit_sum"": 20, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,7532,14.0,4.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[0, 3, 9, 1] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7]","{""digit_sum"": 17, ""even"": 1, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 3, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
4051,4052,9041,14.0,4.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[2, 0, 3, 4] ## M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[5, 1, 2, 6]","{""digit_sum"": 14, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,9436,14.0,2.0,12.0,1,E1_CROSS_PAIR_LINEAR,"SOLVED_AFFINE|M=[[2, 0, 0, 0], [6, 4, 2, 0], [8, 9, 9, 0], [0, 1, 0, 0]]|B=[7, 6, 4, 9] ## SOLVED_AFFINE|M=[[2, 0, 0, 0], [6, 4, 2, 0], [8, 9, 9, 0], [0, 1, 0, 0]]|B=[7, 6, 4, 9]","{""digit_sum"": 22, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,4981,13.25,1.25,12.0,2,E1_CROSS_PAIR_LINEAR|E4_MARKOV,"SOLVED_AFFINE|M=[[1, 0, 0, 0], [4, 0, 9, 0], [2, 0, 2, 9], [1, 1, 0, 0]]|B=[7, 6, 2, 6] ## MARKOV_COLD_DELTA_9","{""digit_sum"": 22, ""even"": 2, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,7388,13.0,3.0,10.0,2,E1_CROSS_PAIR_LINEAR|E3_POLYNOMIAL,"SOLVED_AFFINE|M=[[2, 1, 0, 9], [5, 3, 1, 7], [4, 1, 3, 4], [7, 6, 5, 9]]|B=[5, 9, 7, 1] ## POLY_COEFFS=[[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 5, 2, 8, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4], [9, 3, 2, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [8, 6, 9, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9]]","{""digit_sum"": 26, ""even"": 2, ""high"": 3, ""high_low_score"": 1.0, ""low"": 1, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,8031,13.0,3.0,10.0,2,E1_CROSS_PAIR_LINEAR|E3_POLYNOMIAL,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[5, 2, 4, 4] ## POLY_POWER_2_MEAN_SHIFT=[4, 5, 4, 6]","{""digit_sum"": 12, ""even"": 2, ""high"": 1, ""high_low_score"": 1.0, ""low"": 3, ""odd"": 2, ""odd_even_score"": 2.0, ""sum_score"": 2.0}"
4051,4052,0465,13.0,3.0,10.0,1,E1_CROSS_PAIR_LINEAR,"M=[[1, 0, 0, 0], [0, 1, 0, 0], [0, 0, 1, 0], [0, 0, 0, 1]]|B=[3, 6, 1, 7] ## SOLVED_AFFINE|M=[[0, 6, 7, 9], [1, 5, 8, 9], [2, 0, 0, 0], [2, 9, 1, 0]]|B=[1, 1, 0, 3]","{""digit_sum"": 15, ""even"": 3, ""high"": 2, ""high_low_score"": 2.0, ""low"": 2, ""odd"": 1, ""odd_even_score"": 1.0, ""sum_score"": 2.0}"
